faith_group,n_articles,head_mean,body_mean
muslim,12496,-0.07247223535388948,-0.0869283045227504
christian,9091,-1.7526437881734603e-05,0.08163991228377569
jewish,7716,-0.01971647419220806,0.004518215317436909
